hop mean std delta norm_delta
6 86.4993015925 9.16537646404 11.230691274 0.243986244729
7 85.3784958522 8.91399541128 0 0.484597117579
8 86.7137908936 9.36456518025 1.3352950414 0.455989216464
10 245.379678408 14.9620368464 158.665887515 2.91472503945
12 354.045844078 14.3928149672 108.66616567 1.84351077295
13 359.715835253 13.3024935418 5.66999117533 0.363120933036
14 347.716339429 22.8489523459 0 0.484597117579
15 332.159701983 16.1076746148 0 0.484597117579
16 332.713850339 17.6570902962 0.55414835612 0.472724819036
17 331.388483445 13.1884266645 0 0.484597117579
18 351.825881004 13.8446974017 20.4373975595 0.0467380450077
19 361.931331952 14.2479493876 10.1054509481 0.26809384865
20 349.935086568 14.0591179344 0 0.484597117579
21 326.050464312 11.2251720797 0 0.484597117579
