hop hop_delta hop_norm_delta
1 75.2686103185 1.12798803725
6 11.230691274 -0.243986244729
7 -1.12080574036 -0.508609713145
8 1.3352950414 -0.455989216464
10 158.665887515 2.91472503945
12 108.66616567 1.84351077295
13 5.66999117533 -0.363120933036
14 -11.9994958242 -0.741679170106
15 -15.5566374461 -0.817888811135
16 0.55414835612 -0.472724819036
17 -1.3253668944 -0.512992314057
18 20.4373975595 -0.0467380450077
19 10.1054509481 -0.26809384865
20 -11.9962453842 -0.741609531366
21 -23.884622256 -0.996310926507
