hop mean std delta norm_delta
3 72.7273623149 9.59838904403 5.78249295553 0.249748178938
4 68.4803167979 7.01780949988 0 0.381785329078
6 66.3863579432 6.31295254922 0 0.381785329078
7 73.263669014 10.2413504101 6.87731107076 0.22474915776
8 109.706028303 8.23845173809 36.4423592885 0.450337650034
9 292.699376742 7.93584939483 182.99334844 3.79667548504
10 301.031184196 7.7200669981 8.33180745443 0.191537261288
11 308.358295759 7.18607040373 7.32711156209 0.21447843621
12 319.237240156 6.77984440403 10.878944397 0.133376065849
13 321.472462018 10.0641872638 2.23522186279 0.330746386711
14 319.931046168 10.5180182126 0 0.381785329078
15 323.69018484 8.3306242065 3.75913867244 0.295949347762
16 325.365678469 12.9710113971 1.67549362889 0.343527192745
17 320.703562101 7.33694848204 0 0.381785329078
18 321.921523412 8.49152526304 1.21796131134 0.353974462421
19 320.150113106 7.0077831196 0 0.381785329078
