hop hop_delta hop_norm_delta
1 66.9448693593 1.14683041411
3 5.78249295553 -0.249748178938
4 -4.24704551697 -0.478762150475
6 -2.09395885468 -0.4295986791
7 6.87731107076 -0.22474915776
8 36.4423592885 0.450337650034
9 182.99334844 3.79667548504
10 8.33180745443 -0.191537261288
11 7.32711156209 -0.21447843621
12 10.878944397 -0.133376065849
13 2.23522186279 -0.330746386711
14 -1.54141585032 -0.416981940232
15 3.75913867244 -0.295949347762
16 1.67549362889 -0.343527192745
17 -4.66211636861 -0.488239857197
18 1.21796131134 -0.353974462421
19 -1.77141030629 -0.422233621946
