hop mean std delta norm_delta
6 86.344230175 26.9715967745 18.7240918477 0.0736090571851
7 85.115190347 23.1371388776 0 0.52361914377
8 82.1327884992 26.1818600766 0 0.52361914377
9 103.844587008 26.7865382966 21.711798509 0.0018032711294
10 128.868587812 47.4241502663 25.0240008036 0.0778013608885
11 133.63139232 46.7704049715 4.76280450821 0.40915110513
12 251.266864936 45.7508744263 117.635472616 2.30360204525
13 276.241830985 25.5606802831 24.9749660492 0.0766228720054
14 273.038709164 20.1329605284 0 0.52361914377
15 419.678199291 50.736687646 146.639490128 3.0006772646
16 405.602943897 50.0536084345 0 0.52361914377
17 405.673710505 46.346321371 0.0707666079203 0.521918357018
18 402.282309532 33.4423519475 0 0.52361914377
19 409.406447411 44.1144026879 7.12413787842 0.352399416288
20 396.995882193 43.5175073417 0 0.52361914377
21 400.704451402 38.9235712868 3.70856920878 0.434488329612
22 399.998140335 48.2139605112 0 0.52361914377
